Team,Win,Draw,Lost,Goals Scored,Goals Missed,Points,Position,Season
Bayern Munchen,19,6,9,62,37,63,1,2000-2001
Schalke 04,18,8,8,65,35,62,2,2000-2001
Borussia Dortmund,16,10,8,62,42,58,3,2000-2001
Bayer Leverkusen,17,6,11,54,40,57,4,2000-2001
Hertha,18,2,14,58,52,56,5,2000-2001
Freiburg,15,10,9,54,37,55,6,2000-2001
Werder Bremen,15,8,11,53,48,53,7,2000-2001
Kaiserslautern,15,5,14,49,54,50,8,2000-2001
Wolfsburg,12,11,11,60,45,47,9,2000-2001
Koln,12,10,12,59,52,46,10,2000-2001
60 Munchen,12,8,14,43,55,44,11,2000-2001
Hansa Rostock,12,7,15,34,47,43,12,2000-2001
Hamburger,10,11,13,58,58,41,13,2000-2001
Energie Cottbus,12,3,19,38,52,39,14,2000-2001
Stuttgart,9,11,14,42,49,38,15,2000-2001
Unterhaching,8,11,15,35,59,35,16,2000-2001
Eintracht Frankfurt,10,5,19,41,68,35,17,2000-2001
Bochum,7,6,21,30,67,27,18,2000-2001
Borussia Dortmund,21,7,6,62,33,70,1,2001-2002
Bayer Leverkusen,21,6,7,77,38,69,2,2001-2002
Bayern Munchen,20,8,6,65,25,68,3,2001-2002
Hertha,18,7,9,61,38,61,4,2001-2002
Schalke 04,18,7,9,52,36,61,5,2001-2002
Werder Bremen,17,5,12,54,43,56,6,2001-2002
Kaiserslautern,17,5,12,62,53,56,7,2001-2002
Stuttgart,13,11,10,47,43,50,8,2001-2002
60 Munchen,15,5,14,59,59,50,9,2001-2002
Wolfsburg,13,7,14,57,49,46,10,2001-2002
Hamburger,10,10,14,51,57,40,11,2001-2002
Borussia Monchengladbach,9,12,13,41,53,39,12,2001-2002
Energie Cottbus,9,8,17,36,60,35,13,2001-2002
Hansa Rostock,9,7,18,35,54,34,14,2001-2002
Nurnberg,10,4,20,34,57,34,15,2001-2002
Freiburg,7,9,18,37,64,30,16,2001-2002
Koln,7,8,19,26,61,29,17,2001-2002
Sankt Pauli,4,10,20,37,70,22,18,2001-2002
Bayern Munchen,23,6,5,70,25,75,1,2002-2003
Stuttgart,17,8,9,53,39,59,2,2002-2003
Borussia Dortmund,15,13,6,51,27,58,3,2002-2003
Hamburger,15,11,8,46,36,56,4,2002-2003
Hertha,16,6,12,52,43,54,5,2002-2003
Werder Bremen,16,4,14,51,50,52,6,2002-2003
Schalke 04,12,13,9,46,40,49,7,2002-2003
Wolfsburg,13,7,14,39,42,46,8,2002-2003
60 Munchen,12,9,13,44,52,45,9,2002-2003
Bochum,12,9,13,55,56,45,10,2002-2003
Hannover 96,12,7,15,47,57,43,11,2002-2003
Borussia Monchengladbach,11,9,14,43,45,42,12,2002-2003
Hansa Rostock,11,8,15,35,41,41,13,2002-2003
Kaiserslautern,10,10,14,40,42,40,14,2002-2003
Bayer Leverkusen,11,7,16,47,56,40,15,2002-2003
Arminia Bielefeld,8,12,14,35,46,36,16,2002-2003
Nurnberg,8,6,20,33,60,30,17,2002-2003
Energie Cottbus,7,9,18,34,64,30,18,2002-2003
Werder Bremen,22,8,4,79,38,74,1,2003-2004
Bayern Munchen,20,8,6,70,39,68,2,2003-2004
Bayer Leverkusen,19,8,7,73,39,65,3,2003-2004
Stuttgart,18,10,6,52,24,64,4,2003-2004
Bochum,15,11,8,57,39,56,5,2003-2004
Borussia Dortmund,16,7,11,59,48,55,6,2003-2004
Schalke 04,13,11,10,49,42,50,7,2003-2004
Hamburger,14,7,13,47,60,49,8,2003-2004
Hansa Rostock,12,8,14,55,54,44,9,2003-2004
Wolfsburg,13,3,18,56,61,42,10,2003-2004
Borussia Monchengladbach,10,9,15,40,49,39,11,2003-2004
Hertha  Berlin,9,12,13,42,59,39,12,2003-2004
Freiburg,10,8,16,42,67,38,13,2003-2004
Hannover 96,9,10,15,49,63,37,14,2003-2004
Kaiserslautern,11,6,17,39,62,36,15,2003-2004
Eintracht Frankfurt,9,5,20,36,53,32,16,2003-2004
60 Munchen,8,8,18,32,55,32,17,2003-2004
Koln,6,5,23,32,57,23,18,2003-2004
Bayern Munchen,24,5,5,75,33,77,1,2004-2005
Schalke 04,20,3,11,56,46,63,2,2004-2005
Werder Bremen,18,5,11,68,37,59,3,2004-2005
Hertha  Berlin,15,13,6,59,31,58,4,2004-2005
Stuttgart,17,7,10,54,40,58,5,2004-2005
Bayer Leverkusen,16,9,9,65,44,57,6,2004-2005
Borussia Dortmund,15,10,9,47,44,55,7,2004-2005
Hamburger,16,3,15,55,50,51,8,2004-2005
Wolfsburg,15,3,16,49,51,48,9,2004-2005
Hannover 96,13,6,15,34,36,45,10,2004-2005
