Team,Win,Draw,Lost,Goals Scored,Goals Missed,Points,Position,Season
Roma,22,9,3,68,33,75,1,2000-2001
Juventus,21,10,3,61,27,73,2,2000-2001
Lazio,21,6,7,65,36,69,3,2000-2001
Parma,16,8,10,51,31,56,4,2000-2001
Internazionale,14,9,11,47,47,51,5,2000-2001
Milan,12,13,9,56,46,49,6,2000-2001
Atalanta,10,14,10,38,34,44,7,2000-2001
Brescia,10,14,10,44,42,44,8,2000-2001
Bologna,11,10,13,49,53,43,9,2000-2001
Fiorentina,10,13,11,53,52,43,10,2000-2001
Perugia,10,12,12,49,53,42,11,2000-2001
Udinese,11,5,18,49,59,38,12,2000-2001
Lecce,8,13,13,40,54,37,13,2000-2001
Reggina,10,7,17,32,49,37,14,2000-2001
Hellas Verona,10,7,17,40,59,37,15,2000-2001
Vicenza,9,9,16,37,51,36,16,2000-2001
Napoli,8,12,14,35,51,36,17,2000-2001
Bari,5,5,24,31,68,20,18,2000-2001
Juventus,20,11,3,64,23,71,1,2001-2002
Roma,19,13,2,58,24,70,2,2001-2002
Internazionale,20,9,5,62,35,69,3,2001-2002
Milan,14,13,7,47,33,55,4,2001-2002
Chievo Verona,14,12,8,57,52,54,5,2001-2002
Lazio,14,11,9,50,37,53,6,2001-2002
Bologna,15,7,12,40,40,52,7,2001-2002
Perugia,13,7,14,38,46,46,8,2001-2002
Atalanta,12,9,13,41,50,45,9,2001-2002
Parma,12,8,14,43,47,44,10,2001-2002
Torino,10,13,11,37,39,43,11,2001-2002
Piacenza,11,9,14,49,43,42,12,2001-2002
Brescia,9,13,12,43,52,40,13,2001-2002
Udinese,11,7,16,41,52,40,14,2001-2002
Hellas Verona,11,6,17,41,53,39,15,2001-2002
Lecce,6,10,18,36,56,28,16,2001-2002
Fiorentina,5,7,22,29,63,22,17,2001-2002
Venezia,3,9,22,30,61,18,18,2001-2002
Juventus,21,9,4,64,29,72,1,2002-2003
Internazionale,19,8,7,64,38,65,2,2002-2003
Milan,18,7,9,55,30,61,3,2002-2003
Lazio,15,15,4,57,32,60,4,2002-2003
Parma,15,11,8,55,36,56,5,2002-2003
Udinese,16,8,10,38,35,56,6,2002-2003
Chievo Verona,16,7,11,51,39,55,7,2002-2003
Roma,13,10,11,55,46,49,8,2002-2003
Perugia,10,12,12,40,48,42,9,2002-2003
Brescia,9,15,10,36,38,42,10,2002-2003
Bologna,10,11,13,39,47,41,11,2002-2003
Modena,9,11,14,30,48,38,12,2002-2003
Empoli,9,11,14,36,46,38,13,2002-2003
Atalanta,8,14,12,35,47,38,14,2002-2003
Reggina,10,8,16,38,53,38,15,2002-2003
Piacenza,8,6,20,44,62,30,16,2002-2003
Como,4,12,18,29,57,24,17,2002-2003
Torino,4,9,21,23,58,21,18,2002-2003
Milan,25,7,2,65,24,82,1,2003-2004
Roma,21,8,5,68,19,71,2,2003-2004
Juventus,21,6,7,67,42,69,3,2003-2004
Internazionale,17,8,9,59,37,59,4,2003-2004
Parma,16,10,8,57,46,58,5,2003-2004
Lazio,16,8,10,52,38,56,6,2003-2004
Udinese,13,11,10,44,40,50,7,2003-2004
Sampdoria,11,13,10,40,42,46,8,2003-2004
Chievo Verona,11,11,12,36,37,44,9,2003-2004
Lecce,11,8,15,43,56,41,10,2003-2004
Brescia,9,13,12,52,57,40,11,2003-2004
Bologna,10,9,15,45,53,39,12,2003-2004
Siena,8,10,16,41,54,34,13,2003-2004
Reggina,6,16,12,29,45,34,14,2003-2004
Perugia,6,14,14,44,56,32,15,2003-2004
Modena,6,12,16,27,46,30,16,2003-2004
Empoli,7,9,18,26,54,30,17,2003-2004
Ancona,2,7,25,21,70,13,18,2003-2004
Juventus,26,8,4,67,27,86,1,2004-2005
Milan,23,10,5,63,28,79,2,2004-2005
Internazionale,18,18,2,65,37,72,3,2004-2005
Udinese,17,11,10,56,40,62,4,2004-2005
Sampdoria,17,10,11,42,29,61,5,2004-2005
Citta di Palermo,12,17,9,48,44,53,6,2004-2005
Messina,12,12,14,44,52,48,7,2004-2005
Roma,11,12,15,55,58,45,8,2004-2005
Livorno,11,12,15,49,60,45,9,2004-2005
Cagliari,10,14,14,51,60,44,10,2004-2005
Reggina,10,14,14,36,45,44,11,2004-2005
Lecce,10,14,14,66,73,44,12,2004-2005
Lazio,11,11,16,48,53,44,13,2004-2005
Siena,9,16,13,44,55,43,14,2004-2005
Chievo Verona,11,10,17,32,49,43,15,2004-2005
Fiorentina,9,15,14,42,50,42,16,2004-2005
Bologna,9,15,14,33,36,42,17,2004-2005
Parma,10,12,16,48,65,42,18,2004-2005
Brescia,11,8,19,37,54,41,19,2004-2005
Atalanta,8,11,19,34,45,35,20,2004-2005
Juventus,27,10,1,71,24,91,1,2005-2006
Internazionale,23,7,8,68,30,76,2,2005-2006
Roma,19,12,7,70,42,69,3,2005-2006
Milan,28,4,6,85,31,58,4,2005-2006
Chievo Verona,13,15,10,54,49,54,5,2005-2006
Citta di Palermo,13,13,12,50,52,52,6,2005-2006
Livorno,12,13,13,37,44,49,7,2005-2006
Empoli,13,6,19,47,61,45,8,2005-2006
Parma,12,9,17,46,60,45,9,2005-2006
Fiorentina,22,8,8,66,41,44,10,2005-2006
Udinese,11,10,17,40,54,43,11,2005-2006
Ascoli,9,16,13,43,53,43,12,2005-2006
Reggina,11,8,19,39,65,41,13,2005-2006
Sampdoria,10,11,17,47,51,41,14,2005-2006
Cagliari,8,15,15,42,55,39,15,2005-2006
Siena,9,12,17,42,60,39,16,2005-2006
Lazio,16,14,8,57,47,32,17,2005-2006
Messina,6,13,19,33,59,31,18,2005-2006
Lecce,7,8,23,30,57,29,19,2005-2006
Treviso,3,12,23,24,56,21,20,2005-2006
Internazionale,30,7,1,80,34,97,1,2006-2007
Roma,22,9,7,74,34,75,2,2006-2007
Lazio,18,11,9,59,33,62,3,2006-2007
Milan,19,12,7,57,36,61,4,2006-2007
Citta di Palermo,16,10,12,58,51,58,5,2006-2007
Fiorentina,21,10,7,62,31,58,6,2006-2007
Empoli,14,12,12,42,43,54,7,2006-2007
Atalanta,12,14,12,56,54,50,8,2006-2007
Sampdoria,13,10,15,44,48,49,9,2006-2007
Udinese,12,10,16,49,55,46,10,2006-2007
Livorno,10,13,15,41,54,43,11,2006-2007
Parma,10,12,16,41,56,42,12,2006-2007
Catania,10,11,17,46,68,41,13,2006-2007
Reggina,12,15,11,52,50,40,14,2006-2007
Siena,9,14,15,35,45,40,15,2006-2007
Torino,10,10,18,27,47,40,16,2006-2007
Cagliari,9,13,16,35,46,40,17,2006-2007
Chievo Verona,9,12,17,38,48,39,18,2006-2007
Ascoli,5,12,21,36,67,27,19,2006-2007
Messina,5,11,22,37,69,26,20,2006-2007
Internazionale,25,10,3,69,26,85,1,2007-2008
Roma,24,10,4,72,37,82,2,2007-2008
Juventus,20,12,6,72,37,72,3,2007-2008
Fiorentina,19,9,10,55,39,66,4,2007-2008
Milan,18,10,10,66,38,64,5,2007-2008
Sampdoria,17,9,12,56,46,60,6,2007-2008
Udinese,16,9,13,48,53,57,7,2007-2008
Napoli,14,8,16,50,53,50,8,2007-2008
Atalanta,12,12,14,52,56,48,9,2007-2008
Genoa,13,9,16,44,52,48,10,2007-2008
Citta di Palermo,12,11,15,47,57,47,11,2007-2008
Lazio,11,13,14,47,51,46,12,2007-2008
Siena,9,17,12,40,45,44,13,2007-2008
Cagliari,11,9,18,40,56,42,14,2007-2008
Torino,8,16,14,36,49,40,15,2007-2008
Reggina,9,13,16,37,56,40,16,2007-2008
Catania,8,13,17,33,45,37,17,2007-2008
Empoli,9,9,20,29,52,36,18,2007-2008
Parma,7,13,18,42,62,34,19,2007-2008
Livorno,6,12,20,35,60,30,20,2007-2008
Internazionale,25,9,4,70,32,84,1,2008-2009
Juventus,21,11,6,69,37,74,2,2008-2009
Milan,22,8,8,70,35,74,3,2008-2009
Fiorentina,21,5,12,53,38,68,4,2008-2009
Genoa,19,11,8,56,39,68,5,2008-2009
Roma,18,9,11,64,61,63,6,2008-2009
Udinese,16,10,12,61,50,58,7,2008-2009
Citta di Palermo,17,6,15,57,50,57,8,2008-2009
Cagliari,15,8,15,49,50,53,9,2008-2009
Lazio,15,5,18,46,55,50,10,2008-2009
Atalanta,13,8,17,45,48,47,11,2008-2009
Napoli,12,10,16,43,45,46,12,2008-2009
Sampdoria,11,13,14,49,52,46,13,2008-2009
Siena,12,8,18,33,44,44,14,2008-2009
Catania,12,7,19,41,51,43,15,2008-2009
Chievo Verona,8,14,16,35,49,38,16,2008-2009
Bologna,9,10,19,43,62,37,17,2008-2009
Torino,8,10,20,37,61,34,18,2008-2009
Reggina,6,13,19,30,62,31,19,2008-2009
Lecce,5,15,18,37,67,30,20,2008-2009
Internazionale,24,10,4,75,34,82,1,2009-2010
Roma,24,8,6,68,41,80,2,2009-2010
Milan,20,10,8,60,39,70,3,2009-2010
Sampdoria,19,10,9,49,41,67,4,2009-2010
Citta di Palermo,18,11,9,59,47,65,5,2009-2010
Napoli,15,14,9,50,43,59,6,2009-2010
Juventus,16,7,15,55,56,55,7,2009-2010
Parma,14,10,14,46,51,52,8,2009-2010
Genoa,14,9,15,57,61,51,9,2009-2010
Bari,13,11,14,49,49,50,10,2009-2010
Fiorentina,13,8,17,48,47,47,11,2009-2010
Lazio,11,13,14,39,43,46,12,2009-2010
Catania,10,15,13,44,45,45,13,2009-2010
Cagliari,11,11,16,56,58,44,14,2009-2010
Udinese,11,11,16,54,59,44,15,2009-2010
Chievo Verona,12,8,18,37,42,44,16,2009-2010
Bologna,10,12,16,42,55,42,17,2009-2010
Atalanta,9,8,21,37,53,35,18,2009-2010
Siena,7,10,21,40,67,31,19,2009-2010
Livorno,7,8,23,27,61,29,20,2009-2010
Milan,24,10,4,65,24,82,1,2010-2011
Internazionale,23,7,8,69,42,76,2,2010-2011
Napoli,21,7,10,59,39,70,3,2010-2011
Udinese,20,6,12,65,43,66,4,2010-2011
Lazio,20,6,12,55,39,66,5,2010-2011
Roma,18,9,11,59,52,63,6,2010-2011
Juventus,15,13,10,57,47,58,7,2010-2011
Citta di Palermo,17,5,16,58,63,56,8,2010-2011
Fiorentina,12,15,11,49,44,51,9,2010-2011
Genoa,14,9,15,45,47,51,10,2010-2011
Catania,12,10,16,40,52,46,11,2010-2011
Chievo Verona,11,13,14,38,40,46,12,2010-2011
Parma,11,13,14,39,47,46,13,2010-2011
Cagliari,12,9,17,44,51,45,14,2010-2011
Cesena,11,10,17,38,50,43,15,2010-2011
Bologna,11,12,15,35,52,41,16,2010-2011
