Team,Win,Draw,Lost,Goals Scored,Goals Missed,Points,Position,Season
Real Madrid,24,8,6,81,40,80,1,2000-2001
Deportivo,22,7,9,73,44,73,2,2000-2001
Mallorca,20,11,7,61,43,71,3,2000-2001
Barcelona,17,12,9,80,57,63,4,2000-2001
Valencia,18,9,11,55,34,63,5,2000-2001
Celta,16,11,11,51,49,59,6,2000-2001
Villarreal,16,9,13,58,52,57,7,2000-2001
Malaga,16,8,14,60,61,56,8,2000-2001
Espanyol,14,8,16,46,44,50,9,2000-2001
Deportivo Alaves,14,7,17,58,59,49,10,2000-2001
Las Palmas,13,7,18,42,62,46,11,2000-2001
Athletic de Bilbao,11,10,17,44,60,43,12,2000-2001
Real Sociedad,11,10,17,52,68,43,13,2000-2001
Rayo Vallecano,10,13,15,56,68,43,14,2000-2001
Osasuna,10,12,16,43,54,42,15,2000-2001
Real Valladolid,9,15,14,42,50,42,16,2000-2001
Real Zaragoza,9,15,14,54,57,42,17,2000-2001
Real Oviedo,11,8,19,51,67,41,18,2000-2001
Racing de Santander,10,9,19,48,62,39,19,2000-2001
Numancia,10,9,19,40,64,39,20,2000-2001
Valencia,21,12,5,51,27,75,1,2001-2002
Deportivo,20,8,10,65,41,68,2,2001-2002
Real Madrid,19,9,10,69,44,66,3,2001-2002
Barcelona,18,10,10,65,37,64,4,2001-2002
Celta,16,12,10,64,46,60,5,2001-2002
Real Betis Balompie,15,14,9,42,34,59,6,2001-2002
Deportivo Alaves,17,3,18,41,44,54,7,2001-2002
Athletic de Bilbao,14,11,13,54,66,53,8,2001-2002
Sevilla,14,11,13,51,40,53,9,2001-2002
Malaga,13,14,11,44,44,53,10,2001-2002
Rayo Vallecano,13,10,15,46,52,49,11,2001-2002
Real Valladolid,13,9,16,45,58,48,12,2001-2002
Real Sociedad,13,8,17,48,54,47,13,2001-2002
Espanyol,13,8,17,47,56,47,14,2001-2002
Villarreal,11,10,17,46,55,43,15,2001-2002
Mallorca,11,10,17,40,52,43,16,2001-2002
Osasuna,10,12,16,36,49,42,17,2001-2002
Las Palmas,9,13,16,40,50,40,18,2001-2002
Tenerife,10,8,20,32,58,38,19,2001-2002
Real Zaragoza,9,10,19,35,54,37,20,2001-2002
Real Madrid,22,12,4,86,42,78,1,2002-2003
Real Sociedad,22,10,6,71,45,76,2,2002-2003
Deportivo,22,6,10,67,47,72,3,2002-2003
Celta,17,10,11,45,36,61,4,2002-2003
Valencia,17,9,12,56,35,60,5,2002-2003
Barcelona,15,11,12,63,47,56,6,2002-2003
Athletic de Bilbao,15,10,13,63,61,55,7,2002-2003
Real Betis Balompie,14,12,12,56,53,54,8,2002-2003
Mallorca,14,10,14,49,56,52,9,2002-2003
Sevilla,13,11,14,38,39,50,10,2002-2003
Osasuna,12,11,15,40,48,47,11,2002-2003
Atletico de Madrid,12,11,15,51,56,47,12,2002-2003
Real Valladolid,12,10,16,37,40,46,13,2002-2003
Malaga,11,13,14,44,49,46,14,2002-2003
Villarreal,11,12,15,44,53,45,15,2002-2003
Racing de Santander,13,5,20,54,64,44,16,2002-2003
Espanyol,10,13,15,48,54,43,17,2002-2003
Recreativo Huelva,8,12,18,35,61,36,18,2002-2003
Deportivo Alaves,8,11,19,38,68,35,19,2002-2003
Rayo Vallecano,7,11,20,31,62,32,20,2002-2003
Valencia,23,8,7,71,27,77,1,2003-2004
Barcelona,21,9,8,63,39,72,2,2003-2004
Deportivo,21,8,9,60,34,71,3,2003-2004
Real Madrid,21,7,10,72,54,70,4,2003-2004
Athletic de Bilbao,15,11,12,53,49,56,5,2003-2004
Sevilla,15,10,13,56,45,55,6,2003-2004
Atletico de Madrid,15,10,13,51,53,55,7,2003-2004
Villarreal,15,9,14,47,49,54,8,2003-2004
Real Betis Balompie,13,13,12,46,43,52,9,2003-2004
Mallorca,15,6,17,54,66,51,10,2003-2004
Malaga,15,6,17,50,55,51,11,2003-2004
Real Zaragoza,13,9,16,46,55,48,12,2003-2004
Osasuna,11,15,12,38,37,48,13,2003-2004
Albacete Balompie,13,8,17,40,48,47,14,2003-2004
Real Sociedad,11,13,14,49,53,46,15,2003-2004
Espanyol,13,4,21,48,64,43,16,2003-2004
Racing de Santander,11,10,17,48,63,42,17,2003-2004
Real Valladolid,10,11,17,46,56,41,18,2003-2004
Celta,9,12,17,48,68,39,19,2003-2004
Real Murcia,5,11,22,29,57,26,20,2003-2004
Barcelona,25,9,4,73,29,84,1,2004-2005
Real Madrid,25,5,8,71,32,80,2,2004-2005
Villarreal,18,11,9,69,37,65,3,2004-2005
Real Betis Balompie,16,14,8,62,50,62,4,2004-2005
Espanyol,17,10,11,54,46,61,5,2004-2005
Sevilla,17,9,12,44,41,60,6,2004-2005
Valencia,14,16,8,54,39,58,7,2004-2005
Deportivo,12,15,11,46,50,51,8,2004-2005
Athletic de Bilbao,14,9,15,59,54,51,9,2004-2005
Malaga,15,6,17,40,48,51,10,2004-2005
Real Zaragoza,14,8,16,52,57,50,11,2004-2005
Atletico de Madrid,13,11,14,40,34,50,12,2004-2005
Getafe,12,11,15,38,46,47,13,2004-2005
Real Sociedad,13,8,17,47,56,47,14,2004-2005
Osasuna,12,10,16,46,65,46,15,2004-2005
Racing de Santander,12,8,18,41,58,44,16,2004-2005
Mallorca,10,9,19,42,63,39,17,2004-2005
Levante,9,10,19,39,58,37,18,2004-2005
Numancia,6,11,21,30,61,29,19,2004-2005
Albacete Balompie,6,10,22,33,56,28,20,2004-2005
Barcelona,25,7,6,80,35,82,1,2005-2006
Real Madrid,20,10,8,70,40,70,2,2005-2006
Valencia,19,12,7,58,33,69,3,2005-2006
Osasuna,21,5,12,49,43,68,4,2005-2006
Sevilla,20,8,10,54,39,68,5,2005-2006
Celta,20,4,14,45,33,64,6,2005-2006
Villarreal,14,15,9,50,39,57,7,2005-2006
Deportivo,15,10,13,47,45,55,8,2005-2006
Getafe,15,9,14,54,49,54,9,2005-2006
Atletico de Madrid,13,13,12,45,37,52,10,2005-2006
Real Zaragoza,10,16,12,46,51,46,11,2005-2006
Athletic de Bilbao,11,12,15,40,46,45,12,2005-2006
Mallorca,10,13,15,37,51,43,13,2005-2006
Real Betis Balompie,10,12,16,34,51,42,14,2005-2006
Espanyol,10,11,17,36,56,41,15,2005-2006
Real Sociedad,11,7,20,48,65,40,16,2005-2006
Racing de Santander,9,13,16,36,49,40,17,2005-2006
Deportivo Alaves,9,12,17,35,54,39,18,2005-2006
Cadiz,8,12,18,36,52,36,19,2005-2006
Malaga,5,9,24,36,68,24,20,2005-2006
Real Madrid,23,7,8,66,40,76,1,2006-2007
Barcelona,22,10,6,78,33,76,2,2006-2007
Sevilla,21,8,9,64,35,71,3,2006-2007
Valencia,20,6,12,57,42,66,4,2006-2007
Villarreal,18,8,12,48,44,62,5,2006-2007
Real Zaragoza,16,12,10,55,43,60,6,2006-2007
Atletico de Madrid,17,9,12,46,39,60,7,2006-2007
Recreativo de Huelva,15,9,14,54,52,54,8,2006-2007
Getafe,14,10,14,39,33,52,9,2006-2007
Racing de Santander,12,14,12,42,48,50,10,2006-2007
Mallorca,14,7,17,41,47,49,11,2006-2007
Espanyol,12,13,13,46,53,49,12,2006-2007
Deportivo,12,11,15,32,45,47,13,2006-2007
Osasuna,13,7,18,51,49,46,14,2006-2007
Levante,10,12,16,37,53,42,15,2006-2007
Real Betis Balompie,8,16,14,36,49,40,16,2006-2007
Athletic de Bilbao,10,10,18,44,62,40,17,2006-2007
Celta,10,9,19,40,59,39,18,2006-2007
Real Sociedad,8,11,19,32,47,35,19,2006-2007
Club Gimnastic de Tarragona,7,7,24,34,69,28,20,2006-2007
Real Madrid,27,4,7,84,36,85,1,2007-2008
Villarreal,24,5,9,63,40,77,2,2007-2008
Barcelona,19,10,9,76,43,67,3,2007-2008
Atletico de Madrid,19,7,12,66,47,64,4,2007-2008
Sevilla,20,4,14,75,49,64,5,2007-2008
Racing de Santander,17,9,12,42,41,60,6,2007-2008
Mallorca,15,14,9,69,54,59,7,2007-2008
Almeria,14,10,14,42,45,52,8,2007-2008
Deportivo,15,7,16,46,47,52,9,2007-2008
Valencia,15,6,17,48,62,51,10,2007-2008
Athletic de Bilbao,13,11,14,40,43,50,11,2007-2008
Espanyol,13,9,16,43,53,48,12,2007-2008
Real Betis Balompie,12,11,15,45,51,47,13,2007-2008
Getafe,12,11,15,44,48,47,14,2007-2008
Real Valladolid,11,12,15,42,57,45,15,2007-2008
Recreativo de Huelva,11,11,16,40,60,44,16,2007-2008
Osasuna,12,7,19,37,44,43,17,2007-2008
Real Zaragoza,10,12,16,50,61,42,18,2007-2008
Real Murcia,7,9,22,36,65,30,19,2007-2008
Levante,7,5,26,33,75,26,20,2007-2008
Barcelona,27,6,5,105,35,87,1,2008-2009
Real Madrid,25,3,10,83,52,78,2,2008-2009
Sevilla,21,7,10,54,39,70,3,2008-2009
Atletico de Madrid,20,7,11,80,57,67,4,2008-2009
Villarreal,18,11,9,61,54,65,5,2008-2009
Valencia,18,8,12,68,54,62,6,2008-2009
Deportivo,16,10,12,48,47,58,7,2008-2009
Malaga,15,10,13,55,59,55,8,2008-2009
Mallorca,14,9,15,53,60,51,9,2008-2009
Espanyol,12,11,15,46,49,47,10,2008-2009
Racing de Santander,12,10,16,49,48,46,11,2008-2009
Almeria,13,7,18,45,61,46,12,2008-2009
Athletic de Bilbao,12,8,18,47,62,44,13,2008-2009
Sporting de Gijon,14,1,23,47,79,43,14,2008-2009
Osasuna,10,13,15,41,47,43,15,2008-2009
Real Valladolid,12,7,19,46,58,43,16,2008-2009
Getafe,10,12,16,50,56,42,17,2008-2009
Real Betis Balompie,10,12,16,51,58,42,18,2008-2009
Numancia,10,5,23,38,69,35,19,2008-2009
Recreativo de Huelva,8,9,21,34,57,33,20,2008-2009
Barcelona,31,6,1,98,24,99,1,2009-2010
Real Madrid,31,3,4,102,35,96,2,2009-2010
Valencia,21,8,9,59,40,71,3,2009-2010
Sevilla,19,6,13,65,49,63,4,2009-2010
Mallorca,18,8,12,59,44,62,5,2009-2010
Getafe,17,7,14,58,48,58,6,2009-2010
Villarreal,16,8,14,58,57,56,7,2009-2010
Athletic de Bilbao,15,9,14,50,53,54,8,2009-2010
Atletico de Madrid,13,8,17,57,61,47,9,2009-2010
Deportivo,13,8,17,35,49,47,10,2009-2010
Espanyol,11,11,16,29,46,44,11,2009-2010
Osasuna,11,10,17,37,46,43,12,2009-2010
Almeria,10,12,16,43,55,42,13,2009-2010
Real Zaragoza,10,11,17,46,64,41,14,2009-2010
Sporting de Gijon,9,13,16,36,51,40,15,2009-2010
Racing de Santander,9,12,17,42,59,39,16,2009-2010
Malaga,7,16,15,42,48,37,17,2009-2010
Real Valladolid,7,15,16,37,62,36,18,2009-2010
Tenerife,9,9,20,40,74,36,19,2009-2010
Xerez,8,10,20,38,66,34,20,2009-2010
Barcelona,30,6,2,95,21,96,1,2010-2011
Real Madrid,29,5,4,102,33,92,2,2010-2011
Valencia,21,8,9,64,44,71,3,2010-2011
Villarreal,18,8,12,54,44,62,4,2010-2011
Sevilla,17,7,14,62,61,58,5,2010-2011
Athletic de Bilbao,18,4,16,59,55,58,6,2010-2011
Atletico de Madrid,17,7,14,62,53,58,7,2010-2011
Espanyol,15,4,19,46,55,49,8,2010-2011
Osasuna,13,8,17,45,46,47,9,2010-2011
Sporting de Gijon,11,14,13,35,42,47,10,2010-2011
Racing de Santander,12,10,16,41,56,46,11,2010-2011
Malaga,13,7,18,54,68,46,12,2010-2011
Real Zaragoza,12,9,17,40,53,45,13,2010-2011
Real Sociedad,14,3,21,49,66,45,14,2010-2011
Levante,12,9,17,41,52,45,15,2010-2011
Getafe,12,8,18,49,60,44,16,2010-2011
Mallorca,12,8,18,41,56,44,17,2010-2011
Deportivo,10,13,15,31,47,43,18,2010-2011
Hercules,9,8,21,36,60,35,19,2010-2011
Almeria,6,12,20,36,70,30,20,2010-2011
Real Madrid,32,4,2,121,32,100,1,2011-2012
Barcelona,28,7,3,114,29,91,2,2011-2012
Valencia,17,10,11,59,44,61,3,2011-2012
Malaga,17,7,14,54,53,58,4,2011-2012
Atletico de Madrid,15,11,12,53,46,56,5,2011-2012
Levante,16,7,15,54,50,55,6,2011-2012
Osasuna,13,15,10,44,61,54,7,2011-2012
Mallorca,14,10,14,42,46,52,8,2011-2012
Sevilla,13,11,14,48,47,50,9,2011-2012
Athletic de Bilbao,12,13,13,49,52,49,10,2011-2012
Real Betis Balompie,13,8,17,47,56,47,11,2011-2012
Getafe,12,11,15,40,51,47,12,2011-2012
Real Sociedad,12,11,15,46,52,47,13,2011-2012
Espanyol,12,10,16,46,56,46,14,2011-2012
Rayo Vallecano,13,4,21,53,73,43,15,2011-2012
Real Zaragoza,12,7,19,36,61,43,16,2011-2012
Granada,12,6,20,35,56,42,17,2011-2012
Villarreal,9,14,15,39,53,41,18,2011-2012
Sporting de Gijon,10,7,21,42,69,37,19,2011-2012
Racing de Santander,4,15,19,28,63,27,20,2011-2012
Barcelona,32,4,2,115,40,100,1,2012-2013
Real Madrid,26,7,5,103,42,85,2,2012-2013
Atletico de Madrid,23,7,8,65,31,76,3,2012-2013
Real Sociedad,18,12,8,70,49,66,4,2012-2013
Valencia,19,8,11,67,54,65,5,2012-2013
Malaga,16,9,13,53,50,57,6,2012-2013
Real Betis Balompie,16,8,14,57,56,56,7,2012-2013
Rayo Vallecano,16,5,17,50,66,53,8,2012-2013
Sevilla,14,8,16,58,54,50,9,2012-2013
Getafe,13,8,17,43,57,47,10,2012-2013
Levante,12,10,16,40,57,46,11,2012-2013
Athletic de Bilbao,12,9,17,44,65,45,12,2012-2013
Espanyol,11,11,16,43,52,44,13,2012-2013
Real Valladolid,11,10,17,49,58,43,14,2012-2013
Granada,11,9,18,37,54,42,15,2012-2013
Osasuna,10,9,19,33,50,39,16,2012-2013
Celta,10,7,21,37,52,37,17,2012-2013
Mallorca,9,9,20,43,72,36,18,2012-2013
Deportivo,8,11,19,47,70,35,19,2012-2013
Real Zaragoza,9,7,22,37,62,34,20,2012-2013
Atletico de Madrid,28,6,4,77,26,90,1,2013-2014
Barcelona,27,6,5,100,33,87,2,2013-2014
Real Madrid,27,6,5,104,38,87,3,2013-2014
Athletic de Bilbao,20,10,8,66,39,70,4,2013-2014
Sevilla,18,9,11,69,52,63,5,2013-2014
Villarreal,17,8,13,60,44,59,6,2013-2014
Real Sociedad,16,11,11,62,55,59,7,2013-2014
Valencia,13,10,15,51,53,49,8,2013-2014
Celta,14,7,17,49,54,49,9,2013-2014
Levante,12,12,14,35,43,48,10,2013-2014
Malaga,12,9,17,39,46,45,11,2013-2014
Rayo Vallecano,13,4,21,46,80,43,12,2013-2014
Getafe,11,9,18,35,54,42,13,2013-2014
Espanyol,11,9,18,41,51,42,14,2013-2014
Granada,12,5,21,32,56,41,15,2013-2014
Elche,9,13,16,30,50,40,16,2013-2014
Almeria,11,7,20,43,71,40,17,2013-2014
Osasuna,10,9,19,32,62,39,18,2013-2014
Real Valladolid,7,15,16,38,60,36,19,2013-2014
Real Betis Balompie,6,7,25,36,78,25,20,2013-2014
Barcelona,30,4,4,110,21,94,1,2014-2015
Real Madrid,30,2,6,118,38,92,2,2014-2015
Atletico de Madrid,23,9,6,67,29,78,3,2014-2015
Valencia,22,11,5,70,32,77,4,2014-2015
Sevilla,23,7,8,71,45,76,5,2014-2015
Villarreal,16,12,10,48,37,60,6,2014-2015
Athletic de Bilbao,15,10,13,42,41,55,7,2014-2015
Celta,13,12,13,47,44,51,8,2014-2015
Malaga,14,8,16,42,48,50,9,2014-2015
Rayo Vallecano,15,4,19,46,68,49,10,2014-2015
Espanyol,13,10,15,47,51,49,11,2014-2015
Real Sociedad,11,13,14,44,51,46,12,2014-2015
Elche,11,8,19,35,62,41,13,2014-2015
Levante,9,10,19,34,67,37,14,2014-2015
Getafe,10,7,21,33,64,37,15,2014-2015
Deportivo,7,14,17,35,60,35,16,2014-2015
Granada,7,14,17,29,64,35,17,2014-2015
Eibar,9,8,21,34,55,35,18,2014-2015
Almeria,8,8,22,35,64,32,19,2014-2015
Cordoba,3,11,24,22,68,20,20,2014-2015
Barcelona,29,4,5,112,29,91,1,2015-2016
Real Madrid,28,6,4,110,34,90,2,2015-2016
Atletico de Madrid,28,4,6,63,18,88,3,2015-2016
Villarreal,18,10,10,44,35,64,4,2015-2016
Athletic de Bilbao,18,8,12,58,45,62,5,2015-2016
Celta,17,9,12,51,59,60,6,2015-2016
Sevilla,14,10,14,51,50,52,7,2015-2016
Malaga,12,12,14,38,35,48,8,2015-2016
Real Sociedad,13,9,16,45,48,48,9,2015-2016
Real Betis Balompie,11,12,15,34,52,45,10,2015-2016
